latitude,longitude,place_name,place_lat,place_lng
-37.076585,174.936559,Rosehill Shopping Centre,-37.079111399999995,174.9369218
-36.869414,174.768851,Webb's,-36.8692391,174.7658665
-36.869414,174.768851,Maison Vauron,-36.8674019,174.77378149999998
-36.869414,174.768851,Liquorland Newmarket,-36.8744547,174.7777432
-36.869414,174.768851,Big Barrel Mt Eden,-36.870880299999996,174.7614055
-36.869414,174.768851,Small Gods Taproom,-36.866774899999996,174.7612043
-36.869414,174.768851,Your Local Liquor Newmarket,-36.870194399999995,174.7782308
-36.869414,174.768851,Grafton Liquor Centre,-36.8607851,174.7677335
-36.869414,174.768851,The Bottle O Mt Eden(TBO MOUNT EDEN),-36.8714217,174.7620082
-36.869414,174.768851,Glengarry Wines - Khyber Pass Newmarket,-36.866965,174.774376
-36.869414,174.768851,Uptown Liquor,-36.8628548,174.76160489999998
-36.869414,174.768851,Thirsty Liquor MT Eden on Enfield ST (Previously Merchants),-36.8689509,174.76269729999999
-36.869414,174.768851,The Bottle-O Newmarket,-36.8716943,174.7794548
-36.869414,174.768851,Tokyo Liquor Newmarket,-36.867264,174.7757229
-36.869414,174.768851,United Cellars NZ,-36.870979,174.7622463
-36.869414,174.768851,Normanby Fine Wine & Spirits,-36.8693944,174.7650407
-36.691395,174.738757,Liquorland Long Bay,-36.6852136,174.74057499999998
-36.691395,174.738757,Torbay Fine Wine,-36.6982253,174.7333894
-36.891482,174.691137,Super Liquor Avondale,-36.8979184,174.696564
-36.884707,174.725349,Saint Lukes Liquor Centre,-36.8794209,174.7338561
-36.884707,174.725349,Cheers NZ Liquor Mt Albert,-36.8837908,174.7158656
-36.782458,174.752309,The Bottle O Wairau,-36.776501499999995,174.7442744
-36.751681,174.698673,Liquorland Albany,-36.7443581,174.6935196
-36.751681,174.698673,The Bottle-O Schnapper Rock,-36.7566256,174.7020638
-36.751681,174.698673,Albany Liquor,-36.7447369,174.6968128
-36.751681,174.698673,Thirsty Liquor Rosedale,-36.742791,174.6972975
-36.751681,174.698673,Wine And More,-36.7428169,174.69729909999998
-36.751681,174.698673,Liquor Centre Albany Highway,-36.7468967,174.69370419999998
-36.951275,174.87553,Thirsty Liquor Franich Street,-36.9530683,174.8697387
-36.737197,174.736684,The Bottle-O Rosedale,-36.7388889,174.7272222
-36.737197,174.736684,The Bottle O Windsor Park,-36.738766399999996,174.74120639999998
-36.737197,174.736684,Thirsty Liquor East Coast Bay,-36.7344012,174.733327
-36.737197,174.736684,Kiwi Liquor Rosedale,-36.7388969,174.7272913
-36.867097,174.620712,Liquorland Lincoln Green,-36.862474000000006,174.6295257
-36.867097,174.620712,Super Liquor Westside,-36.8636935,174.61401229999998
-36.867097,174.620712,Eno Plastic Nz,-36.8661345,174.6128923
-36.799175,174.701151,Thirsty Liquor Birkdale,-36.792434,174.7011897
-36.808881,174.733677,Liquorland Birkenhead,-36.8115257,174.7239844
-36.808881,174.733677,Super Liquor Birkenhead,-36.8107769,174.72562539999998
-36.808881,174.733677,Liquor Centre Onewa,-36.8106289,174.7379293
-36.808881,174.733677,Batenburgs NZ Gift Baskets & Flowers | Award-winning Products,-36.8125417,174.72697119999998
-37.017649,174.919792,"Riverton Liquor, Manurewa",-37.0242955,174.91470339999998
-36.876921,174.776577,Glengarry Wines - Bassett Road,-36.87503540000001,174.785112
-36.876921,174.776577,Epsom Liquor,-36.8855254,174.7757365
-36.883656,174.628205,Super Liquor Valley Road,-36.886251699999995,174.62809389999998
-36.883656,174.628205,Liquorland WestCity,-36.8814335,174.63148310000003
-36.84188,174.601693,Super Liquor Red Hills,-36.836440499999995,174.6005889
-36.777366,174.749491,Liquor Star,-36.773687599999995,174.7415227
-36.882722,174.914424,Bucklands Beach Liquor,-36.8800569,174.9117387
